方形标签叠放实验， 拟合出正确顺序
speed   : 2
epc_type: 0
epc     : 0001 - 0007
order   : 0001 - 0007
0000 0002 0000 0000 0000 0000#1624774537251583#-48.0#1.214912784005428#1
0000 0004 0000 0000 0000 0000#1624774537252639#-51.0#3.6447383520162835#1
0000 0006 0000 0000 0000 0000#1624774537254490#-65.0#3.6692820446224537#1
9999 33B2 DDD9 0140 0000 0000#1624774537255564#-60.5#2.4850488763747385#1
3008 33B2 DDD9 0140 2018 0626#1624774537256894#-57.5#6.17273869045182#1
0000 0005 0000 0000 0000 0000#1624774537262105#-69.5#3.5956509668039427#1
0000 0001 0000 0000 0000 0000#1624774537263316#-53.0#1.88986433067511#1
E200 001B 2014 0164 1580 8A56#1624774537264452#-69.0#5.3198453723874035#1
0000 0007 0000 0000 0000 0000#1624774537265536#-44.0#5.755495916146925#1
0000 0003 0000 0000 0000 0000#1624774537267096#-53.5#1.846912868614312#1
0000 0001 0000 0000 0000 0000#1624774537273545#-53.5#1.9205439464328227#1
0000 0007 0000 0000 0000 0000#1624774537274630#-44.0#5.767767762450011#1
0000 0004 0000 0000 0000 0000#1624774537275957#-51.0#3.6570101983193686#1
E200 001B 2014 0164 1580 8A56#1624774537276997#-71.0#5.608233760509904#1
0000 0003 0000 0000 0000 0000#1624774537278081#-53.5#1.8407769454627694#1
0000 0002 0000 0000 0000 0000#1624774537279394#-48.0#1.2087768608538851#1
0000 0005 0000 0000 0000 0000#1624774537282431#-69.5#3.429981041712294#1
9999 33B2 DDD9 0140 0000 0000#1624774537284771#-61.0#2.5893595699509624#1
3008 33B2 DDD9 0140 2018 0626#1624774537286316#-57.5#6.17273869045182#1
0000 0006 0000 0000 0000 0000#1624774537288511#-64.5#3.6876898140770815#1
0000 0004 0000 0000 0000 0000#1624774537554667#-51.5#3.3072625786814425#1
E200 001B 2014 0164 1580 8A56#1624774537555991#-70.5#5.019185137961818#1
0000 0001 0000 0000 0000 0000#1624774537558185#-53.5#1.6260196351587797#1
0000 0005 0000 0000 0000 0000#1624774537559708#-67.5#3.5956509668039427#1
0000 0003 0000 0000 0000 0000#1624774537560853#-54.0#1.6014759425526093#1
0000 0006 0000 0000 0000 0000#1624774537564855#-65.0#2.5586799541932495#1
9999 33B2 DDD9 0140 0000 0000#1624774537565940#-61.5#2.0371264863121317#1
0000 0007 0000 0000 0000 0000#1624774537568849#-44.5#5.516194913236766#1
0000 0002 0000 0000 0000 0000#1624774537570776#-48.0#0.9572040116406401#1
3008 33B2 DDD9 0140 2018 0626#1624774537572124#-57.5#5.780039608753096#1
0000 0006 0000 0000 0000 0000#1624774537576680#-65.0#2.6016314162540475#1
3008 33B2 DDD9 0140 2018 0626#1624774537578022#-58.0#5.7616318392984684#1
0000 0002 0000 0000 0000 0000#1624774537579150#-48.0#0.9572040116406401#1
0000 0004 0000 0000 0000 0000#1624774537580234#-51.5#3.2888548092268146#1
0000 0007 0000 0000 0000 0000#1624774537582995#-44.5#5.497787143782138#1
9999 33B2 DDD9 0140 0000 0000#1624774537585441#-61.5#1.9696313316451632#1
0000 0001 0000 0000 0000 0000#1624774537587023#-53.5#1.6444274046134073#1
0000 0005 0000 0000 0000 0000#1624774537588138#-67.5#3.890175278077986#1
0000 0003 0000 0000 0000 0000#1624774537590228#-53.5#1.6014759425526093#1
E200 001B 2014 0164 1580 8A56#1624774537593748#-70.5#4.95168998329485#1
0000 0005 0000 0000 0000 0000#1624774537865489#-69.0#3.7122335066832517#1
0000 0003 0000 0000 0000 0000#1624774537866560#-53.5#1.718058482431918#1
0000 0007 0000 0000 0000 0000#1624774537867903#-44.5#5.6573211457222445#1
0000 0002 0000 0000 0000 0000#1624774537870476#-48.0#1.0983302441261191#1
3008 33B2 DDD9 0140 2018 0626#1624774537871806#-57.5#5.964117303299373#1
0000 0001 0000 0000 0000 0000#1624774537872876#-53.5#1.7916895602504288#1
9999 33B2 DDD9 0140 0000 0000#1624774537873993#-62.0#2.3439226438892597#1
0000 0006 0000 0000 0000 0000#1624774537875060#-65.5#3.117048960983623#1
E200 001B 2014 0164 1580 8A56#1624774537876397#-70.0#5.184855063053467#1
0000 0004 0000 0000 0000 0000#1624774537877869#-51.5#3.5158839658338894#1
0000 0005 0000 0000 0000 0000#1624774537883343#-69.5#3.761320891895592#1
