方形标签叠放实验， 拟合出错误顺序
speed   : 2
epc_type: 0
epc     : 0001 - 0007
order   : 0001 - 0007
0000 0007 0000 0000 0000 0000#1624777722952563#-40.0#3.902447124381071#1
0000 0006 0000 0000 0000 0000#1624777722953630#-46.5#5.638913376267617#1
0000 0001 0000 0000 0000 0000#1624777722954715#-52.5#5.712544454086128#1
0000 0003 0000 0000 0000 0000#1624777722957423#-59.0#5.626641529964532#1
E200 001B 2014 0200 1580 ACEC#1624777722959684#-67.5#4.95168998329485#1
0000 0005 0000 0000 0000 0000#1624777722960737#-50.5#1.0492428589137786#1
0000 0002 0000 0000 0000 0000#1624777722963076#-49.5#5.129631754689584#1
E200 001B 2014 0195 1580 B13D#1624777722966023#-64.0#5.227806525114265#1
0000 0004 0000 0000 0000 0000#1624777722968343#-55.0#0.8651651643675016#1
E200 001B 2014 0164 1580 8A56#1624777722969768#-67.5#4.853515212870168#1
0000 0006 0000 0000 0000 0000#1624777722973183#-46.0#5.681864838328415#1
0000 0007 0000 0000 0000 0000#1624777722974269#-40.0#3.9392626632903265#1
0000 0005 0000 0000 0000 0000#1624777722975865#-50.5#1.0983302441261191#1
0000 0003 0000 0000 0000 0000#1624777722977905#-59.0#5.706408530934585#1
E200 001B 2014 0200 1580 ACEC#1624777722980818#-67.5#4.884194828627882#1
0000 0004 0000 0000 0000 0000#1624777722981901#-55.0#0.8835729338221293#1
E200 001B 2014 0164 1580 8A56#1624777722982996#-67.0#5.105088062083414#1
E200 001B 2014 0195 1580 B13D#1624777722985087#-64.0#5.21553467881118#1
0000 0002 0000 0000 0000 0000#1624777722986685#-49.5#5.111223985234957#1
0000 0001 0000 0000 0000 0000#1624777722988013#-52.0#5.724816300389213#1
0000 0006 0000 0000 0000 0000#1624777723255371#-48.0#0.02454369260617026#1
0000 0007 0000 0000 0000 0000#1624777723257312#-39.5#4.405592822807561#1
E200 001B 2014 0164 1580 8A56#1624777723259675#-69.5#5.767767762450011#1
0000 0001 0000 0000 0000 0000#1624777723260788#-53.0#6.191146459906448#1
0000 0004 0000 0000 0000 0000#1624777723261915#-56.0#1.3499030933393643#1
0000 0003 0000 0000 0000 0000#1624777723263253#-60.0#6.050020227420969#1
E200 001B 2014 0195 1580 B13D#1624777723264377#-64.0#5.982525072754001#1
E200 001B 2014 0200 1580 ACEC#1624777723265465#-68.5#5.7616318392984684#1
0000 0002 0000 0000 0000 0000#1624777723269352#-50.0#5.553010452146021#1
0000 0005 0000 0000 0000 0000#1624777723271777#-51.0#1.6137477888556946#1
0000 0007 0000 0000 0000 0000#1624777723276098#-39.5#4.424000592262189#1
E200 001B 2014 0195 1580 B13D#1624777723278546#-64.5#5.93343768754166#1
0000 0003 0000 0000 0000 0000#1624777723279847#-59.5#6.068427996875596#1
0000 0002 0000 0000 0000 0000#1624777723280918#-50.0#5.540738605842936#1
0000 0001 0000 0000 0000 0000#1624777723282002#-53.5#6.17273869045182#1
0000 0005 0000 0000 0000 0000#1624777723283100#-51.0#1.6137477888556946#1
0000 0006 0000 0000 0000 0000#1624777723284412#-48.0#0.01227184630308513#1
0000 0004 0000 0000 0000 0000#1624777723285511#-55.5#1.2885438618239387#1
E200 001B 2014 0200 1580 ACEC#1624777723288933#-67.0#5.516194913236766#1
E200 001B 2014 0164 1580 8A56#1624777723290170#-66.5#5.93343768754166#1
0000 0005 0000 0000 0000 0000#1624777723560246#-50.5#0.8958447801252144#1
0000 0006 0000 0000 0000 0000#1624777723561328#-47.0#5.546874528994478#1
0000 0004 0000 0000 0000 0000#1624777723562697#-55.5#0.5767767762450011#1
E200 001B 2014 0195 1580 B13D#1624777723565017#-65.0#4.994641445355648#1
0000 0007 0000 0000 0000 0000#1624777723568206#-40.5#3.834951969714103#1
E200 001B 2014 0200 1580 ACEC#1624777723569669#-68.5#4.626486056263094#1
E200 001B 2014 0164 1580 8A56#1624777723571684#-68.0#4.71238898038469#1
0000 0001 0000 0000 0000 0000#1624777723572766#-52.0#5.5284667595398505#1
0000 0003 0000 0000 0000 0000#1624777723573868#-57.0#5.436427912266712#1
0000 0002 0000 0000 0000 0000#1624777723575182#-48.5#5.019185137961818#1
0000 0005 0000 0000 0000 0000#1624777723580362#-50.5#0.9019807032767571#1
0000 0006 0000 0000 0000 0000#1624777723581402#-47.0#5.540738605842936#1
0000 0004 0000 0000 0000 0000#1624777723582457#-55.5#0.5951845456996288#1
E200 001B 2014 0200 1580 ACEC#1624777723586135#-68.5#4.460816131171445#1
0000 0007 0000 0000 0000 0000#1624777723588079#-40.0#3.834951969714103#1
0000 0002 0000 0000 0000 0000#1624777723589123#-48.5#4.97623367590102#1
E200 001B 2014 0164 1580 8A56#1624777723590246#-66.5#4.841243366567084#1
0000 0003 0000 0000 0000 0000#1624777723591273#-57.0#5.405748296509#1
E200 001B 2014 0195 1580 B13D#1624777723592598#-65.5#4.779884135051658#1
0000 0001 0000 0000 0000 0000#1624777723594551#-52.0#5.50392306693368#1
E200 001B 2014 0200 1580 ACEC#1624777723856797#-68.0#5.681864838328415#1
0000 0007 0000 0000 0000 0000#1624777723857910#-39.5#4.595806440505381#1
E200 001B 2014 0195 1580 B13D#1624777723859046#-66.0#5.994796919057086#1
0000 0006 0000 0000 0000 0000#1624777723860384#-47.0#0.2699806186678728#1
0000 0003 0000 0000 0000 0000#1624777723861968#-59.5#0.0#1
E200 001B 2014 0164 1580 8A56#1624777723863092#-67.0#6.031612457966341#1
0000 0005 0000 0000 0000 0000#1624777723864142#-50.5#1.8837284075235674#1
0000 0001 0000 0000 0000 0000#1624777723867661#-53.0#0.09817477042468103#1
3008 33B2 DDD9 0140 2018 0626#1624777723868739#-58.0#5.6941366846315#1
0000 0004 0000 0000 0000 0000#1624777723871665#-56.0#1.6198837120072371#1
0000 0002 0000 0000 0000 0000#1624777723872779#-50.0#5.737088146692298#1
0000 0000 0000 0000 0000 2000#1624777723875678#-66.0#2.423689644859313#1
0000 0007 0000 0000 0000 0000#1624777723882904#-39.5#4.571262747899211#1
E200 001B 2014 0164 1580 8A56#1624777723884030#-68.5#6.037748381117884#1
0000 0001 0000 0000 0000 0000#1624777723885808#-53.0#0.11658253987930872#1
0000 0000 0000 0000 0000 2000#1624777723888226#-65.5#2.552544031041707#1
3008 33B2 DDD9 0140 2018 0626#1624777723889499#-58.5#5.6573211457222445#1
E200 001B 2014 0195 1580 B13D#1624777723890795#-65.5#6.12365130523948#1
0000 0005 0000 0000 0000 0000#1624777723893087#-50.5#1.8530487917658545#1
0000 0002 0000 0000 0000 0000#1624777723894643#-50.0#5.730952223540755#1
0000 0003 0000 0000 0000 0000#1624777723895717#-59.0#6.2463697682703305#1
