长条形标签叠放实验， 拟合出正确顺序
peed   : 2
epc_type: 2
epc     : 000f - 0015
order   : 000f - 0015
0000 000F 2000 0000 0000 0000#1624798111842556#-53.5#0.32520392703175593#1
3008 33B2 DDD9 0140 2018 0626#1624798111843753#-56.0#0.02454369260617026#1
0000 0015 2000 0000 0000 0000#1624798111845060#-62.5#4.620350133111551#1
0000 0012 2000 0000 0000 0000#1624798111847216#-58.5#0.6320000846088841#1
0000 0013 2000 0000 0000 0000#1624798111848768#-53.0#5.583690067903734#1
0000 0011 2000 0000 0000 0000#1624798111850341#-62.5#3.055689729468197#1
3008 33B2 DDD9 0140 2018 0626#1624798111853225#-56.5#5.344389064993574#1
0000 0014 2000 0000 0000 0000#1624798111856335#-52.0#5.252350217720435#1
0000 0010 2000 0000 0000 0000#1624798111860276#-57.0#5.270757987175063#1
0C21 0537 8123 1003 2202 062F#1624798111865366#-69.0#3.6324665057131984#1
0000 0014 2000 0000 0000 0000#1624798111867526#-52.5#5.264622064023521#1
0000 0012 2000 0000 0000 0000#1624798111869940#-60.0#0.5154175447295755#1
0000 0010 2000 0000 0000 0000#1624798111870997#-57.0#5.252350217720435#1
0000 000F 2000 0000 0000 0000#1624798111872061#-53.0#0.3190680038802134#1
0000 0013 2000 0000 0000 0000#1624798111873169#-53.0#5.553010452146021#1
3008 33B2 DDD9 0140 2018 0626#1624798111874258#-57.0#5.332117218690489#1
0000 0015 2000 0000 0000 0000#1624798111876475#-63.0#4.651029748869264#1
3008 33B2 DDD9 0140 2018 0626#1624798111880174#-56.5#0.0859029241215959#1
0000 000F 2000 0000 0000 0000#1624798112147002#-53.5#0.07363107781851078#1
0000 0015 2000 0000 0000 0000#1624798112149138#-63.0#4.473087977474529#1
0000 0013 2000 0000 0000 0000#1624798112150588#-52.5#5.295301679781233#1
0000 0010 2000 0000 0000 0000#1624798112151875#-56.5#4.994641445355648#1
0000 0014 2000 0000 0000 0000#1624798112153432#-52.5#5.043728830567988#1
3008 33B2 DDD9 0140 2018 0626#1624798112155550#-57.0#5.681864838328415#1
3008 33B2 DDD9 0140 2018 0626#1624798112157660#-57.0#4.896466674930966#1
0000 0012 2000 0000 0000 0000#1624798112158719#-60.0#0.32520392703175593#1
3008 33B2 DDD9 0140 2018 0626#1624798112170499#-56.5#5.663457068873787#1
0000 0015 2000 0000 0000 0000#1624798112172051#-63.0#4.522175362686871#1
3008 33B2 DDD9 0140 2018 0626#1624798112173123#-57.5#4.921010367537137#1
0000 000F 2000 0000 0000 0000#1624798112175159#-54.0#0.02454369260617026#1
0000 0013 2000 0000 0000 0000#1624798112176751#-52.5#5.289165756629691#1
0000 0014 2000 0000 0000 0000#1624798112179157#-52.5#5.062136600022616#1
0000 0011 2000 0000 0000 0000#1624798112180283#-60.0#2.82252464970958#1
0000 0010 2000 0000 0000 0000#1624798112181596#-57.0#4.97623367590102#1
0000 0012 2000 0000 0000 0000#1624798112184204#-58.5#0.30066023442558565#1
3008 33B2 DDD9 0140 2018 0626#1624798112451277#-53.5#0.17794177139473438#1
E200 001B 2014 0201 1580 B140#1624798112452339#-62.5#5.749359992995383#1
0000 0010 2000 0000 0000 0000#1624798112453962#-55.0#5.3198453723874035#1
0000 0012 2000 0000 0000 0000#1624798112455521#-59.5#0.6381360077604268#1
0000 0013 2000 0000 0000 0000#1624798112456556#-52.0#5.620505606812989#1
0000 0015 2000 0000 0000 0000#1624798112457877#-62.0#4.71238898038469#1
0000 000F 2000 0000 0000 0000#1624798112459395#-53.5#0.4172427743048944#1
0000 0011 2000 0000 0000 0000#1624798112460456#-62.5#3.11091303783208#1
3008 33B2 DDD9 0140 2018 0626#1624798112462548#-56.0#5.546874528994478#1
0000 0014 2000 0000 0000 0000#1624798112465368#-52.0#5.332117218690489#1
0000 0011 2000 0000 0000 0000#1624798112469015#-62.0#3.129320807286708#1
3008 33B2 DDD9 0140 2018 0626#1624798112470610#-53.5#0.16566992509164924#1
E200 001B 2014 0201 1580 B140#1624798112472789#-63.0#5.8475347634200645#1
0000 0010 2000 0000 0000 0000#1624798112474449#-56.5#5.356660911296659#1
0000 0012 2000 0000 0000 0000#1624798112475535#-59.5#0.6565437772150544#1
0000 0013 2000 0000 0000 0000#1624798112477113#-52.5#5.632777453116074#1
0000 0014 2000 0000 0000 0000#1624798112478422#-51.5#5.3198453723874035#1
0000 0015 2000 0000 0000 0000#1624798112479886#-62.0#4.798291904506286#1
0000 000F 2000 0000 0000 0000#1624798112480975#-53.5#0.39269908169872414#1
