FFFF FFFF FFFF FFFF FFFF FFFF#1635662792560965#-62.0#3.5465635815916023#1
0000 0020 2000 0000 0000 0000#1635662792562001#-41.0#2.5770877236478773#1
0000 0028 2000 0000 0000 0000#1635662792563588#-42.5#2.110757564130642#1
0000 002C 2000 0000 0000 0000#1635662792565681#-50.5#3.5281558121369745#1
0000 0026 2000 0000 0000 0000#1635662792567973#-36.5#1.337631247036279#1
0000 001F 2000 0000 0000 0000#1635662792569018#-44.5#3.5711072741977725#1
0000 0029 2000 0000 0000 0000#1635662792570075#-45.5#2.2518837966161214#1
0000 001E 2000 0000 0000 0000#1635662792571357#-48.5#4.1601558967458585#1
0000 0027 2000 0000 0000 0000#1635662792572617#-41.5#1.576932249946439#1
0000 0023 2000 0000 0000 0000#1635662792576949#-43.5#1.7855536370988863#1
0000 002B 2000 0000 0000 0000#1635662792578915#-49.5#3.074097498922825#1
0000 0025 2000 0000 0000 0000#1635662792579956#-40.0#1.6935147898257479#1
0000 0024 2000 0000 0000 0000#1635662792581240#-41.0#1.6566992509164924#1
0000 002A 2000 0000 0000 0000#1635662792582304#-48.5#2.435961491162398#1
3008 33B2 DDD9 0140 2018 0626#1635662792584181#-60.0#1.3192234775816514#1
0000 0022 2000 0000 0000 0000#1635662792585283#-42.0#2.662990647769473#1
0000 0021 2000 0000 0000 0000#1635662792586589#-41.5#2.5464081078901644#1
3008 33B2 DDD9 0140 2018 0626#1635662792595340#-61.0#1.325359400733194#1
0000 0024 2000 0000 0000 0000#1635662792596394#-40.5#1.6812429435226628#1
0000 001F 2000 0000 0000 0000#1635662792597453#-44.5#3.5588354278946874#1
0000 0023 2000 0000 0000 0000#1635662792598816#-43.0#1.7855536370988863#1
0000 002B 2000 0000 0000 0000#1635662792600396#-49.5#3.104777114680538#1
0000 002A 2000 0000 0000 0000#1635662792601715#-48.0#2.454369260617026#1
0000 0029 2000 0000 0000 0000#1635662792603038#-45.5#2.282563412373834#1
0000 0027 2000 0000 0000 0000#1635662792604395#-41.5#1.6137477888556946#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662792605476#-62.5#3.485204350076177#1
0000 0022 2000 0000 0000 0000#1635662792606662#-42.5#2.675262494072558#1
0000 0025 2000 0000 0000 0000#1635662792608046#-40.0#1.705786636128833#1
0000 0020 2000 0000 0000 0000#1635662792609113#-41.0#2.6016314162540475#1
0000 0028 2000 0000 0000 0000#1635662792610195#-42.5#2.1353012567368124#1
0000 001E 2000 0000 0000 0000#1635662792611280#-48.5#4.184699589352029#1
0000 0021 2000 0000 0000 0000#1635662792612329#-41.0#2.5402721847386216#1
0000 0026 2000 0000 0000 0000#1635662792613397#-36.5#1.3499030933393643#1
0000 002C 2000 0000 0000 0000#1635662792614850#-50.5#3.5588354278946874#1
3008 33B2 DDD9 0140 2018 0626#1635662792619967#-60.5#1.3314953238847365#1
0000 0021 2000 0000 0000 0000#1635662792622497#-41.0#2.5464081078901644#1
0000 002B 2000 0000 0000 0000#1635662792623550#-49.0#3.117048960983623#1
0000 0020 2000 0000 0000 0000#1635662792625397#-41.0#2.6139032625571326#1
0000 002C 2000 0000 0000 0000#1635662792626479#-50.0#3.56497135104623#1
0000 002A 2000 0000 0000 0000#1635662792627557#-48.0#2.448233337465483#1
0000 0029 2000 0000 0000 0000#1635662792628640#-45.5#2.2886993355253766#1
FFFF FFFF FFFF FFFF FFFF FFFF#1635662792629950#-62.5#3.5158839658338894#1
0000 0026 2000 0000 0000 0000#1635662792630987#-36.5#1.3560390164909069#1
0000 0025 2000 0000 0000 0000#1635662792633085#-40.0#1.6996507129772904#1
0000 0024 2000 0000 0000 0000#1635662792634140#-41.0#1.6812429435226628#1
0000 0023 2000 0000 0000 0000#1635662792635184#-43.0#1.7978254834019713#1
0000 0027 2000 0000 0000 0000#1635662792636235#-41.5#1.5892040962495242#1
0000 0028 2000 0000 0000 0000#1635662792638238#-43.0#2.141437179888355#1
0000 001E 2000 0000 0000 0000#1635662792639277#-48.5#4.172427743048944#1
0000 0022 2000 0000 0000 0000#1635662792640606#-42.5#2.693670263527186#1
0000 001F 2000 0000 0000 0000#1635662792641853#-45.0#3.56497135104623#1
0000 0021 2000 0000 0000 0000#1635662792650988#-41.0#2.5402721847386216#1
0000 001F 2000 0000 0000 0000#1635662792652318#-44.5#3.5711072741977725#1
0000 0029 2000 0000 0000 0000#1635662792653906#-45.5#2.2948352586769194#1
0000 001E 2000 0000 0000 0000#1635662792654948#-48.5#4.196971435655114#1
0000 0026 2000 0000 0000 0000#1635662792656015#-36.5#1.3621749396424494#1
0000 002A 2000 0000 0000 0000#1635662792657051#-48.0#2.423689644859313#1
0000 002C 2000 0000 0000 0000#1635662792658887#-50.0#3.5711072741977725#1
3008 33B2 DDD9 0140 2018 0626#1635662792661222#-60.5#1.368310862793992#1
0000 002B 2000 0000 0000 0000#1635662792662531#-49.5#3.11091303783208#1
0000 0028 2000 0000 0000 0000#1635662792663855#-42.5#2.12916533358527#1
0000 0024 2000 0000 0000 0000#1635662792664965#-40.5#1.6873788666742053#1
0000 0027 2000 0000 0000 0000#1635662792666257#-41.5#1.6014759425526093#1
