长条形标签叠放实验， 拟合出正确顺序
speed   : 2.5
epc_type: 2
epc     : 000f - 0015
order   : 000f - 0015
0000 0014 2000 0000 0000 0000#1624798408323914#-45.0#4.368777283898306#1
0000 0011 2000 0000 0000 0000#1624798408329003#-57.0#2.0371264863121317#1
3008 33B2 DDD9 0140 2018 0626#1624798408330047#-56.0#3.663146121470911#1
E200 001B 2014 0164 1580 8A56#1624798408331161#-63.5#5.9088939949354895#1
0000 0013 2000 0000 0000 0000#1624798408332256#-50.5#4.749204519293945#1
0000 0012 2000 0000 0000 0000#1624798408333299#-56.0#6.013204688511713#1
E200 001B 2014 0201 1580 B140#1624798408334661#-64.0#2.337786720737717#1
0000 0010 2000 0000 0000 0000#1624798408336297#-51.0#3.9638063558964967#1
0000 000F 2000 0000 0000 0000#1624798408337629#-49.0#5.117359908386499#1
0000 0015 2000 0000 0000 0000#1624798408344837#-56.5#3.9269908169872414#1
0000 0011 2000 0000 0000 0000#1624798408349585#-56.0#2.030990563160589#1
0000 0010 2000 0000 0000 0000#1624798408351754#-52.5#3.9760782021995817#1
0000 0012 2000 0000 0000 0000#1624798408352815#-56.0#6.043884304269426#1
0000 000F 2000 0000 0000 0000#1624798408353876#-48.5#5.123495831538041#1
E200 001B 2014 0201 1580 B140#1624798408354997#-65.0#2.3746022596469727#1
3008 33B2 DDD9 0140 2018 0626#1624798408356340#-56.0#3.6999616603801666#1
0000 0015 2000 0000 0000 0000#1624798408357632#-56.5#3.9638063558964967#1
0000 0014 2000 0000 0000 0000#1624798408359168#-45.0#4.362641360746763#1
0000 0013 2000 0000 0000 0000#1624798408360222#-50.0#4.792155981354743#1
E200 001B 2014 0164 1580 8A56#1624798408363594#-64.0#6.019340611663256#1
0000 0015 2000 0000 0000 0000#1624798408626543#-57.0#3.663146121470911#1
0000 0013 2000 0000 0000 0000#1624798408629507#-50.5#4.466952054322987#1
0000 0012 2000 0000 0000 0000#1624798408630582#-56.5#5.749359992995383#1
0000 000F 2000 0000 0000 0000#1624798408631901#-49.0#4.822835597112456#1
0000 0011 2000 0000 0000 0000#1624798408633501#-57.5#1.8407769454627694#1
0000 0014 2000 0000 0000 0000#1624798408634568#-46.0#4.0987966652304335#1
0000 0010 2000 0000 0000 0000#1624798408637307#-52.5#3.6324665057131984#1
3008 33B2 DDD9 0140 2018 0626#1624798408638397#-57.5#3.3379421944391554#1
E200 001B 2014 0201 1580 B140#1624798408639458#-62.5#1.8530487917658545#1
E200 001B 2014 0164 1580 8A56#1624798408641236#-63.0#5.497787143782138#1
3008 33B2 DDD9 0140 2018 0626#1624798408651229#-57.5#3.2459033471660166#1
E200 001B 2014 0164 1580 8A56#1624798408652282#-63.5#5.546874528994478#1
0000 000F 2000 0000 0000 0000#1624798408653828#-49.0#4.841243366567084#1
0000 0010 2000 0000 0000 0000#1624798408654874#-52.5#3.663146121470911#1
0000 0013 2000 0000 0000 0000#1624798408659343#-50.5#4.491495746929157#1
0000 0011 2000 0000 0000 0000#1624798408660430#-57.5#1.7855536370988863#1
0000 0012 2000 0000 0000 0000#1624798408661515#-56.0#5.730952223540755#1
0000 0015 2000 0000 0000 0000#1624798408663320#-56.5#3.5833791205008576#1
0000 0014 2000 0000 0000 0000#1624798408664373#-45.5#4.09266074207889#1
E200 001B 2014 0201 1580 B140#1624798408666079#-62.5#1.7426021750380885#1
0000 0014 2000 0000 0000 0000#1624798408931653#-45.0#4.565126824747668#1
E200 001B 2014 0201 1580 B140#1624798408942039#-63.5#2.073942025221387#1
0000 0015 2000 0000 0000 0000#1624798408943685#-57.0#3.8410878928656453#1
0000 0012 2000 0000 0000 0000#1624798408944960#-56.0#5.93343768754166#1
0000 0013 2000 0000 0000 0000#1624798408945969#-50.5#4.663301595172349#1
0000 0010 2000 0000 0000 0000#1624798408946999#-52.5#3.877903431774901#1
0000 000F 2000 0000 0000 0000#1624798408949982#-49.0#4.988505522204105#1
E200 001B 2014 0164 1580 8A56#1624798408952232#-63.0#5.663457068873787#1
3008 33B2 DDD9 0140 2018 0626#1624798408953308#-56.5#3.5342917352885173#1
