长条形标签叠放实验， 拟合出正确顺序
speed   : 3
epc_type: 2
epc     : 000f - 0015
order   : 000f - 0015
0000 0010 2000 0000 0000 0000#1624798500962199#-54.5#5.583690067903734#1
0000 000F 2000 0000 0000 0000#1624798500963822#-52.0#0.6749515466696822#1
0000 0014 2000 0000 0000 0000#1624798500964885#-52.0#5.497787143782138#1
0000 0011 2000 0000 0000 0000#1624798500967597#-61.0#3.8840393549264434#1
0000 0013 2000 0000 0000 0000#1624798500968706#-53.0#5.810719224510809#1
0000 0012 2000 0000 0000 0000#1624798500970764#-61.0#1.055378782065321#1
0000 0015 2000 0000 0000 0000#1624798500972067#-61.0#4.841243366567084#1
0000 0010 2000 0000 0000 0000#1624798500978772#-56.0#5.6143696836614465#1
0000 0011 2000 0000 0000 0000#1624798500982509#-61.0#3.9208548938356986#1
0000 0013 2000 0000 0000 0000#1624798500983813#-53.5#5.8475347634200645#1
0000 0014 2000 0000 0000 0000#1624798500984852#-52.0#5.50392306693368#1
0000 000F 2000 0000 0000 0000#1624798500985947#-52.5#0.6688156235181395#1
0000 0015 2000 0000 0000 0000#1624798500987822#-61.0#4.798291904506286#1
0000 0012 2000 0000 0000 0000#1624798500989367#-61.0#1.0737865515199487#1
0000 0014 2000 0000 0000 0000#1624798501254476#-52.5#5.240078371417351#1
0000 000F 2000 0000 0000 0000#1624798501258963#-51.5#0.44178646691106466#1
0000 0013 2000 0000 0000 0000#1624798501260101#-54.5#5.5714182216006485#1
0000 0012 2000 0000 0000 0000#1624798501261161#-62.5#0.8344855486097889#1
0000 0011 2000 0000 0000 0000#1624798501262206#-61.0#3.767456815047135#1
0000 0010 2000 0000 0000 0000#1624798501263306#-55.5#5.283029833478148#1
0000 0015 2000 0000 0000 0000#1624798501264722#-62.0#4.595806440505381#1
0000 0015 2000 0000 0000 0000#1624798501269530#-62.0#4.522175362686871#1
0000 000F 2000 0000 0000 0000#1624798501270619#-52.0#0.42337869745643697#1
0000 0014 2000 0000 0000 0000#1624798501273018#-52.0#5.2339424482658075#1
0000 0013 2000 0000 0000 0000#1624798501274955#-54.5#5.583690067903734#1
0000 0012 2000 0000 0000 0000#1624798501276000#-61.5#0.9387962421860124#1
0000 0010 2000 0000 0000 0000#1624798501277109#-54.0#5.338253141842031#1
0000 0011 2000 0000 0000 0000#1624798501278812#-61.5#3.706097583531709#1
0000 0011 2000 0000 0000 0000#1624798501542782#-61.0#3.6386024288647407#1
0000 0010 2000 0000 0000 0000#1624798501544116#-53.5#5.080544369477243#1
0000 0014 2000 0000 0000 0000#1624798501546281#-52.5#4.970097752749477#1
0000 000F 2000 0000 0000 0000#1624798501549642#-52.5#0.11044661672776616#1
0000 0013 2000 0000 0000 0000#1624798501550699#-54.5#5.3198453723874035#1
0000 0012 2000 0000 0000 0000#1624798501555507#-63.5#0.6381360077604268#1
0000 0015 2000 0000 0000 0000#1624798501557069#-62.5#4.227651051412827#1
0000 0015 2000 0000 0000 0000#1624798501561420#-62.5#4.196971435655114#1
0000 000F 2000 0000 0000 0000#1624798501562482#-52.5#0.09203884727313846#1
0000 0011 2000 0000 0000 0000#1624798501564496#-59.5#3.5711072741977725#1
0000 0012 2000 0000 0000 0000#1624798501566625#-63.0#0.7240389318820226#1
0000 0013 2000 0000 0000 0000#1624798501568808#-54.5#5.301437602932776#1
0000 0010 2000 0000 0000 0000#1624798501578759#-54.5#5.460971604872882#1
0000 0014 2000 0000 0000 0000#1624798501579783#-52.0#5.325981295538946#1
0000 0015 2000 0000 0000 0000#1624798501841424#-62.0#4.399456899656019#1
0000 0014 2000 0000 0000 0000#1624798501842490#-52.5#5.117359908386499#1
0000 0012 2000 0000 0000 0000#1624798501845689#-62.5#0.8651651643675016#1
0000 0010 2000 0000 0000 0000#1624798501846748#-55.5#5.190990986205009#1
0000 0011 2000 0000 0000 0000#1624798501849715#-61.5#3.650874275167826#1
0000 000F 2000 0000 0000 0000#1624798501851018#-52.0#0.25157284921324513#1
0000 0013 2000 0000 0000 0000#1624798501853124#-55.0#5.442563835418255#1
0000 000F 2000 0000 0000 0000#1624798501863853#-52.0#0.23316507975861744#1
0000 0011 2000 0000 0000 0000#1624798501865542#-61.0#3.5772431973493153#1
0000 0010 2000 0000 0000 0000#1624798501866856#-55.5#5.197126909356553#1
0000 0013 2000 0000 0000 0000#1624798501867936#-55.0#5.460971604872882#1
0000 0014 2000 0000 0000 0000#1624798501869534#-52.5#5.117359908386499#1
0000 0012 2000 0000 0000 0000#1624798501871207#-63.0#0.8160777791551611#1
0000 0015 2000 0000 0000 0000#1624798501872287#-62.5#4.4362724385652745#1
0000 0010 2000 0000 0000 0000#1624798502136436#-54.0#4.921010367537137#1
0000 0014 2000 0000 0000 0000#1624798502137790#-53.0#4.865787059173254#1
0000 0013 2000 0000 0000 0000#1624798502139400#-54.5#5.197126909356553#1
0000 0012 2000 0000 0000 0000#1624798502140956#-63.0#0.6381360077604268#1
0C21 0537 8123 1003 2202 062F#1624798502142784#-67.0#1.509437095279471#1
0000 000F 2000 0000 0000 0000#1624798502143829#-52.0#6.1850105367549055#1
